     C0   C1   C2   C3   C4   C5   C6   C7   C8   C9   C10  C11  C12  C13  C14  C15  
R0  -1   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   
R1  1    -1   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   
R2  2    3    -1   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   
R3  4    5    6    -1   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   
R4  7    8    9    10   -1   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   
R5  11   12   13   14   15   -1   -2   -2   -2   -2   -2   -2   -2   -2   -2   -2   
R6  16   17   18   19   20   21   -1   -2   -2   -2   -2   -2   -2   -2   -2   -2   
R7  22   23   24   25   26   27   28   -1   -2   -2   -2   -2   -2   -2   -2   -2   
R8  29   30   31   32   33   34   35   36   -1   -2   -2   -2   -2   -2   -2   -2   
R9  37   38   39   40   41   42   43   44   45   -1   -2   -2   -2   -2   -2   -2   
R10 46   47   48   49   50   51   52   53   54   55   -1   -2   -2   -2   -2   -2   
R11 56   57   58   59   60   61   62   63   64   65   66   -1   -2   -2   -2   -2   
R12 67   68   69   70   71   72   73   74   75   76   77   78   -1   -2   -2   -2   
R13 79   80   81   82   83   84   85   86   87   88   89   90   91   -1   -2   -2   
R14 92   93   94   95   96   97   98   99   100  101  102  103  104  105  -1   -2   
R15 106  107  108  109  110  111  112  113  114  115  116  117  118  119  120  -1 
